threshold,cutoff,scope,event,N,n,missing,pi,width,observed_rate,q_median,q_lo,q_hi,lower_median,upper_median,lower_lo,lower_hi,upper_lo,upper_hi
500000000.0,20,joint_tape,positive,164,136,28,0.8292682926829268,0.1707317073170732,0.375,0.3755505401275627,0.2986532770859265,0.45786524455874444,0.31143215522773493,0.48216386254480814,0.2476636931932073,0.37969312963408075,0.4183954005102805,0.550424836951154
500000000.0,20,joint_tape,loss20,164,136,28,0.8292682926829268,0.1707317073170732,0.2647058823529412,0.26496314603611604,0.19604202170853222,0.34320734309293255,0.2197255357372669,0.39045724305434015,0.16257143263634377,0.28461096744291964,0.333303139953417,0.45534267475999285
1000000000.0,1,endpoint,positive,68,63,5,0.9264705882352942,0.07352941176470584,0.5238095238095238,0.5234808678850851,0.3987867216062359,0.6448932375573129,0.4849896275994171,0.558519039364123,0.36946416854695385,0.5974746171486869,0.4429935803116597,0.6710040289133927
1000000000.0,1,endpoint,loss20,68,63,5,0.9264705882352942,0.07352941176470584,0.30158730158730157,0.3038021497288508,0.19803752033407826,0.42407582578879516,0.2814637563664353,0.3549931681311411,0.18347593795657252,0.3928937797749132,0.2570053497212783,0.46642319153961903
1000000000.0,1,joint_tape,positive,68,60,8,0.8823529411764706,0.11764705882352944,0.5333333333333333,0.5336563934412123,0.4070081418495553,0.6564678047041026,0.4708732883304814,0.5885203471540108,0.3591248310437253,0.5792362982683258,0.4767718898672547,0.6968833570918552
1000000000.0,1,joint_tape,loss20,68,60,8,0.8823529411764706,0.11764705882352944,0.2833333333333333,0.28345045136575364,0.17934487220255863,0.40798275279547647,0.2501033394403709,0.3677503982639003,0.15824547547284584,0.3599847818783616,0.2758925342963753,0.477631840701891
1000000000.0,5,endpoint,positive,68,64,4,0.9411764705882353,0.05882352941176472,0.390625,0.39093837815916777,0.2770233043352459,0.5105958577660301,0.36794200297333435,0.42676553238509907,0.26072781584493737,0.48056080730920475,0.3195513452567021,0.5393843367209694
1000000000.0,5,endpoint,loss20,68,64,4,0.9411764705882353,0.05882352941176472,0.28125,0.2831424645506816,0.18366127271015154,0.39677149296736247,0.266487025459465,0.32531055487122973,0.1728576684330838,0.373431993381047,0.23168119784484853,0.4322555227928117
1000000000.0,5,joint_tape,positive,68,60,8,0.8823529411764706,0.11764705882352944,0.4166666666666667,0.4158317155729086,0.29822661223777636,0.5413505119566001,0.3669103372702135,0.48455739609374293,0.2631411284450968,0.47766221643229423,0.38078818726862623,0.5953092752558237
1000000000.0,5,joint_tape,loss20,68,60,8,0.8823529411764706,0.11764705882352944,0.26666666666666666,0.2681709363994051,0.16839572991482668,0.3846338521270008,0.2366214144700633,0.35426847329359273,0.1485844675719059,0.3393828107002948,0.26623152639543535,0.45702986952382424
1000000000.0,10,endpoint,positive,68,64,4,0.9411764705882353,0.05882352941176472,0.375,0.375596986643817,0.26382446571764717,0.4961199525858537,0.3535030462530042,0.41232657566476894,0.24830537949896203,0.4669364259631564,0.30712890891072675,0.525759955374921
1000000000.0,10,endpoint,loss20,68,64,4,0.9411764705882353,0.05882352941176472,0.34375,0.34448305008213165,0.23806409526824499,0.46549464352323633,0.32421934125377094,0.38304287066553566,0.2240603249583482,0.4381126056689283,0.28288385437011293,0.496936135080693
1000000000.0,10,joint_tape,positive,68,60,8,0.8823529411764706,0.11764705882352944,0.4,0.39902657928898494,0.2822024183409646,0.5269093946414455,0.352082275843222,0.46972933466675143,0.24900213383026287,0.464920054095393,0.3666491926537923,0.5825671129189225
