phase,benchmark,likelihood,kind,cutoff,n,log_score,crps,mae,rmse,coverage50,coverage50_lo,coverage50_hi,coverage80,coverage80_lo,coverage80_hi,coverage95,coverage95_lo,coverage95_hi
final,growth,student,M3,5,244,-1.1120000961805567,0.4074313179212446,0.5313117798631372,0.760132522556698,0.4057377049180328,0.34553460617720444,0.4681622523485599,0.680327868852459,0.6199541972677102,0.7364521818051633,0.860655737704918,0.8130466942386078,0.899772178233385
final,growth,student,M3,10,244,-1.009005436503387,0.3748551422006844,0.48858684857372736,0.7101014860023082,0.3770491803278688,0.31797716887480715,0.43901867206321127,0.6762295081967213,0.6157099409737934,0.7325962685504999,0.8688524590163934,0.8222298294182975,0.9067902016790412
final,growth,student,M3,20,244,-0.812672942900931,0.3128025048319003,0.4115882070280398,0.6045710455760903,0.4098360655737705,0.34948917892745107,0.4723078214957241,0.7213114754098361,0.6626888013514032,0.7747194059663405,0.8934426229508197,0.850121423100588,0.9275030130030295
reference_screen,broad,gaussian,M0,1,298,-1.9722136570169952,0.5271401892584678,0.6695722722793808,0.9622057584182103,0.5033557046979866,0.44678538001044094,0.5598611975476703,0.6778523489932886,0.623276352602727,0.7289925722336339,0.785234899328859,0.7359948610333766,0.8289659092406623
reference_screen,broad,gaussian,M0,5,298,-1.5843094476178397,0.43130177278500303,0.5508955063877662,0.8112403555731208,0.5067114093959731,0.4501124723974489,0.5631806827298441,0.7080536912751678,0.6546087515581636,0.7574795884669693,0.802013422818792,0.7539809202214327,0.844213174930214
reference_screen,broad,gaussian,M0,10,298,-1.718208983854945,0.4076276311767226,0.5155739217706975,0.7976274325202286,0.47315436241610737,0.41695570999437537,0.529871668608205,0.7046979865771812,0.6511143214758015,0.7543274123246378,0.8087248322147651,0.7612096681078206,0.8502777859948771
reference_screen,broad,gaussian,M0,20,298,-1.3321623953851205,0.32947452527220367,0.4223527457611576,0.6471188444582214,0.4899328859060403,0.4335023683805759,0.5465578989007956,0.7248322147651006,0.6721321371908032,0.7731892542304759,0.8489932885906041,0.8050518394908361,0.8861962655874216
reference_screen,broad,student,M0,1,298,-1.529203941166605,0.537179743289413,0.6730000649584255,0.9740865633282026,0.3825503355704698,0.3287206610745549,0.4386490407478008,0.6208053691275168,0.5647669227724961,0.6745099606521012,0.785234899328859,0.7359948610333766,0.8289659092406623
reference_screen,broad,student,M0,5,298,-1.2409308857046029,0.43699662971583925,0.5517206759404826,0.8167804004947367,0.40939597315436244,0.35466391099079325,0.4658784574472304,0.6409395973154363,0.5853214887053972,0.6938349171126452,0.802013422818792,0.7539809202214327,0.844213174930214
reference_screen,broad,student,M0,10,298,-1.1522727670023953,0.4105630722697265,0.5150548437336115,0.8027440740500408,0.3825503355704698,0.3287206610745549,0.4386490407478008,0.6610738255033557,0.6059794228276782,0.7130565274745142,0.8221476510067114,0.7757303395438633,0.8623438926690059
reference_screen,broad,student,M0,20,298,-0.9240141694683546,0.3311623079553259,0.4199335495087485,0.6482774197061129,0.40939597315436244,0.35466391099079325,0.4658784574472304,0.6677852348993288,0.6128890771086415,0.7194400605118937,0.8456375838926175,0.8013643860524371,0.883236956265263
reference_screen,growth,gaussian,M0,1,298,-1.9596908425957729,0.5224497772117429,0.6646637445839769,0.9533990036634449,0.5,0.4434608234207735,0.5565391765792264,0.6812080536912751,0.6267449519650874,0.7321705703996391,0.7718120805369127,0.7216887242215209,0.8166854484302859
reference_screen,growth,gaussian,M0,5,298,-1.583099671167263,0.4281195844202264,0.5492606943567683,0.8062005420500369,0.5134228187919463,0.45677426697474693,0.5698120433684717,0.6912751677852349,0.6371696333231118,0.7416856874774906,0.8053691275167785,0.7575927492836423,0.8472480230540249
reference_screen,growth,gaussian,M0,10,298,-1.719199501612892,0.4039470796783,0.512268405681673,0.793205665772631,0.4865771812080537,0.4301879566315283,0.543225733025253,0.714765100671141,0.6616077516232001,0.7637738047489193,0.8120805369127517,0.7648317780997838,0.853302362595953
reference_screen,growth,gaussian,M0,20,298,-1.3442643779115822,0.32663020370149076,0.41899313797084553,0.6424638085605026,0.5,0.4434608234207735,0.5565391765792264,0.7214765100671141,0.6686205076423217,0.7700542706182851,0.8422818791946308,0.7976836178886495,0.8802709709054861
reference_screen,growth,student,M0,1,298,-1.523586690290353,0.5333286899540292,0.6688030757381207,0.9656059383155148,0.37919463087248323,0.3254900393478987,0.43523307722750393,0.6073825503355704,0.5511195759738414,0.6615709691963039,0.7751677852348994,0.7252586695778315,0.8197621479242274
reference_screen,growth,student,M0,5,298,-1.238265254196524,0.43451244020710916,0.5490577744328834,0.8126818668715622,0.39932885906040266,0.34491490231062744,0.4556877190897703,0.62751677852349,0.5716071868096488,0.6809628685874667,0.8087248322147651,0.7612096681078206,0.8502777859948771
reference_screen,growth,student,M0,10,298,-1.1399029251285142,0.40817160946712916,0.5124932043716404,0.7982346509178236,0.3926174496644295,0.3384290308036961,0.4488804240261586,0.6510067114093959,0.595637290366799,0.7034588846151764,0.8322147651006712,0.7866797460652892,0.8713346320133885
reference_screen,growth,student,M0,20,298,-0.9173251242307686,0.3299056356992727,0.41819700103412444,0.6451812743271182,0.412751677852349,0.3579189244943817,0.46927002560112013,0.6644295302013423,0.6094327456858846,0.7162497978796613,0.8456375838926175,0.8013643860524371,0.883236956265263
reference_screen,growth,student,M0size,1,298,-1.3982213780754298,0.4890016432058791,0.6139931980055878,0.8923846142570517,0.4161073825503356,0.36117659329714835,0.47265893813688975,0.6241610738255033,0.5681856604465109,0.6777378087114709,0.802013422818792,0.7539809202214327,0.844213174930214
reference_screen,growth,student,M0size,5,298,-1.1678964713572202,0.4103262669573254,0.5197929731414465,0.7677730518289504,0.3859060402684564,0.33195404247067944,0.442062244130975,0.6442953020134228,0.5887571955730394,0.6970457993236285,0.8120805369127517,0.7648317780997838,0.853302362595953
reference_screen,growth,student,M0size,10,298,-1.092183297370879,0.3918597158631267,0.49189963354047755,0.7656158838728384,0.3926174496644295,0.3384290308036961,0.4488804240261586,0.6543624161073825,0.5990817159966666,0.7066610500407597,0.825503355704698,0.7793743242398607,0.8653466167539072
reference_screen,growth,student,M0size,20,298,-0.8701554953735211,0.31786680331169725,0.4025897501967667,0.6239443721964866,0.4228187919463087,0.36769985977811503,0.4794288334345197,0.6644295302013423,0.6094327456858846,0.7162497978796613,0.8489932885906041,0.8050518394908361,0.8861962655874216
sensitivity_0.5,growth,student,M3,10,244,-1.0078647006787533,0.3747052195240811,0.48878778891809826,0.7105193839820967,0.3770491803278688,0.31797716887480715,0.43901867206321127,0.6680327868852459,0.6072366364181121,0.7248692399243593,0.8770491803278688,0.8314667925595619,0.9137545314058142
sensitivity_2.0,growth,student,M3,10,244,-1.0094579451421717,0.3746700055035992,0.48886966323463077,0.709355290368208,0.38524590163934425,0.3258282361119328,0.4473679003639198,0.6885245901639344,0.6284581732971721,0.7441485512478772,0.8770491803278688,0.8314667925595619,0.9137545314058142
