coefficient,median,lo,hi,p_positive,p_negative,size_conditioned,kind,cutoff,benchmark,phase,fold,prior_multiplier
early_car,0.009953421088093238,-0.027212820154277513,0.04824445211618214,0.6940625,0.3059375,True,M3,20,growth,development,2022,1.0
log_ti,-0.028007014157875137,-0.061241510010023266,0.006362789933953746,0.0525,0.9475,True,M3,20,growth,development,2022,1.0
log_size,0.0395582700018178,0.007886953472518391,0.07090571307713085,0.9925,0.0075,True,M3,20,growth,development,2022,1.0
delta_rv,0.10426607161701862,-0.002472406929966489,0.22165661677195794,0.9725,0.0275,True,M3,20,growth,development,2022,1.0
early_car,0.01199733271042277,-0.030345305072538128,0.05463432550510443,0.716875,0.283125,True,M3,20,growth,development,2024,1.0
log_ti,-0.06200623948386804,-0.09650217121759405,-0.028944211431127995,0.0,1.0,True,M3,20,growth,development,2024,1.0
log_size,0.054505625155740534,0.024591325646356424,0.08468025464934933,1.0,0.0,True,M3,20,growth,development,2024,1.0
delta_rv,0.2052581412370646,0.11495790563413062,0.2991076349948645,1.0,0.0,True,M3,20,growth,development,2024,1.0
early_car,0.016300571423774127,-0.03340173721006485,0.06727064579592888,0.731875,0.268125,True,M1size,10,growth,development,2022,1.0
log_size,0.053965497508154193,0.01727916040004275,0.08946387714013888,0.9978125,0.0021875,True,M1size,10,growth,development,2022,1.0
price_size,0.0018063678947551128,-0.03763627955409012,0.03761911982249405,0.53625,0.46375,True,M1size,10,growth,development,2022,1.0
early_car,-0.002550783463345853,-0.062061239605728354,0.054378500434772915,0.4659375,0.5340625,True,M1size,10,growth,development,2024,1.0
log_size,0.09008420015815402,0.05400195279089181,0.12691269180484185,1.0,0.0,True,M1size,10,growth,development,2024,1.0
price_size,-0.057999290859111714,-0.109576023858632,-0.00963894237202757,0.01125,0.98875,True,M1size,10,growth,development,2024,1.0
log_size,0.19048157180637515,0.1525106392354977,0.23028781480386518,1.0,0.0,True,M0,1,growth,final,final,1.0
log_ti,-0.18619508154705905,-0.22911225277772795,-0.1426022543172129,0.0,1.0,True,M2,1,growth,final,final,1.0
log_size,0.18412490405910625,0.14758098284830506,0.22330409320631442,1.0,0.0,True,M2,1,growth,final,final,1.0
log_size,0.13139092871167424,0.0990049440948911,0.1647465430816188,1.0,0.0,True,M0,5,growth,final,final,1.0
early_car,0.058294306931579734,0.011963570383443192,0.09970691886107678,0.9921875,0.0078125,True,M1,5,growth,final,final,1.0
log_size,0.12100311249852502,0.08894190556035307,0.15432596183550265,1.0,0.0,True,M1,5,growth,final,final,1.0
early_car,0.028537358473729613,-0.013762865715909017,0.06576745397961502,0.91625,0.08375,True,M2,5,growth,final,final,1.0
log_ti,-0.1442796460081459,-0.1847241514421063,-0.10606847914257016,0.0,1.0,True,M2,5,growth,final,final,1.0
log_size,0.09879061121656502,0.06505072993510154,0.13251070200260393,1.0,0.0,True,M2,5,growth,final,final,1.0
early_car,0.0054698955913917244,-0.05266752222574884,0.0635438372338764,0.573125,0.426875,True,M3,5,growth,final,final,1.0
log_ti,-0.1483892120674108,-0.19045806302629917,-0.10487564655540295,0.0,1.0,True,M3,5,growth,final,final,1.0
log_size,0.10302969322762422,0.06847767091606992,0.13722656652484766,1.0,0.0,True,M3,5,growth,final,final,1.0
delta_rv,0.24009589411976978,0.15304310451639982,0.33214222002048566,1.0,0.0,True,M3,5,growth,final,final,1.0
log_size,0.09863449538086434,0.06797348580066372,0.12971706130463212,1.0,0.0,True,M0,10,growth,final,final,1.0
early_car,0.0375472800448398,0.0009195751046460978,0.07386159238399169,0.978125,0.021875,True,M1,10,growth,final,final,1.0
log_size,0.0882932785583731,0.05628277574168497,0.11941551964389743,1.0,0.0,True,M1,10,growth,final,final,1.0
early_car,0.015196337153035498,-0.021031075221658528,0.051160018553322015,0.80375,0.19625,True,M2,10,growth,final,final,1.0
log_ti,-0.10543347800003847,-0.13979484224960756,-0.071620837767559,0.0,1.0,True,M2,10,growth,final,final,1.0
log_size,0.06876914315511125,0.036101033216076925,0.10039267508282082,1.0,0.0,True,M2,10,growth,final,final,1.0
early_car,0.012451795782660414,-0.038942624170569984,0.06359840343254057,0.681875,0.318125,True,M3,10,growth,final,final,1.0
log_ti,-0.10227687815754677,-0.14117735596675526,-0.0651880645964896,0.0,1.0,True,M3,10,growth,final,final,1.0
log_size,0.07270912036805745,0.040383208769173486,0.10538359391012626,1.0,0.0,True,M3,10,growth,final,final,1.0
delta_rv,0.27160174504526785,0.18171897251869834,0.368788202689136,1.0,0.0,True,M3,10,growth,final,final,1.0
log_size,0.08119081685243101,0.05552371955673147,0.10767004073126223,1.0,0.0,True,M0,20,growth,final,final,1.0
early_car,0.03553130804138281,0.002367416923103592,0.06792670908537339,0.9809375,0.0190625,True,M1,20,growth,final,final,1.0
log_size,0.07188051799414655,0.04393296810623158,0.09908270836849725,1.0,0.0,True,M1,20,growth,final,final,1.0
early_car,0.020029016940626865,-0.013203201954186096,0.051637491694294185,0.8765625,0.1234375,True,M2,20,growth,final,final,1.0
log_ti,-0.07126358452932269,-0.09958149700229876,-0.041853518844656976,0.0,1.0,True,M2,20,growth,final,final,1.0
log_size,0.05510317686538095,0.02780267674082611,0.08379917359277932,1.0,0.0,True,M2,20,growth,final,final,1.0
early_car,0.006205427360474056,-0.033612488851363025,0.04459537832083878,0.6225,0.3775,True,M3,20,growth,final,final,1.0
log_ti,-0.06643929242325883,-0.09688948526539377,-0.03509392591690601,0.0,1.0,True,M3,20,growth,final,final,1.0
log_size,0.058221288999196735,0.030931848274706405,0.08620707953686464,1.0,0.0,True,M3,20,growth,final,final,1.0
delta_rv,0.20890201991225268,0.12611241352906863,0.29548844577973105,1.0,0.0,True,M3,20,growth,final,final,1.0
early_car,0.01352118514525344,-0.03847117978624278,0.062379178276802914,0.6984375,0.3015625,True,M3,10,growth,sensitivity_0.5,sensitivity_0.5,0.5
log_ti,-0.09979339600437262,-0.1372723308041299,-0.06321175546383985,0.0,1.0,True,M3,10,growth,sensitivity_0.5,sensitivity_0.5,0.5
log_size,0.07135055876974952,0.04156406294720474,0.10318979768546034,1.0,0.0,True,M3,10,growth,sensitivity_0.5,sensitivity_0.5,0.5
delta_rv,0.25686826519713646,0.16944983692406468,0.3514686065929757,1.0,0.0,True,M3,10,growth,sensitivity_0.5,sensitivity_0.5,0.5
early_car,0.013202459281079352,-0.04031300180605981,0.0643834110763856,0.6903125,0.3096875,True,M3,10,growth,sensitivity_2.0,sensitivity_2.0,2.0
log_ti,-0.10334841670136419,-0.14343960628433738,-0.0657647345614957,0.0,1.0,True,M3,10,growth,sensitivity_2.0,sensitivity_2.0,2.0
log_size,0.07378511421880206,0.04130627629284635,0.10519610785169345,1.0,0.0,True,M3,10,growth,sensitivity_2.0,sensitivity_2.0,2.0
delta_rv,0.2749547721706618,0.18417176822276216,0.37140546181898365,1.0,0.0,True,M3,10,growth,sensitivity_2.0,sensitivity_2.0,2.0
