day,q10,q25,q50,q75,q90,variable,group
48,0.0028479054406549418,0.010253472139957864,0.026660353858978247,0.053135130189170265,0.09120915467068295,abs_return,all
49,0.004328397539373407,0.01181122366263182,0.028894514906341984,0.057492683960374436,0.09659574176288986,abs_return,all
50,0.004924752177700231,0.013002504230587686,0.029185336610654478,0.05563503596937308,0.09182536984559786,abs_return,all
51,0.005208917436504912,0.01228719477455864,0.026863642269548293,0.05561951046434094,0.10207340096606013,abs_return,all
52,0.004216209299101692,0.011185227163703293,0.03072837911443216,0.05803171232528037,0.09573225985217089,abs_return,all
53,0.0046905932948058116,0.011886491386648768,0.026135546465556825,0.054741006173141704,0.08674414235031587,abs_return,all
54,0.004403342698451463,0.013252755169984226,0.030264569311655443,0.055544082317909194,0.09879584180907997,abs_return,all
55,0.0040696311474950585,0.011756203489968975,0.0278993105580998,0.05727015678819902,0.09531227491996498,abs_return,all
56,0.00420713190498665,0.012384212117716675,0.03109157496525139,0.057132627104437894,0.09954430155800732,abs_return,all
57,0.005153057111258264,0.013001269527980308,0.030771670044400068,0.05879086103424741,0.09800740400766067,abs_return,all
58,0.0034529910009184483,0.011729098164277474,0.02794588448382951,0.05688569864176496,0.09554937849051426,abs_return,all
59,0.00419704264729015,0.012035516640532151,0.028170876966695957,0.055182979472017446,0.09597202050687424,abs_return,all
60,0.004241246039388047,0.011934165148609566,0.028068792799857967,0.05510353986001329,0.09960664950273335,abs_return,all
1,0.20543689230306525,0.33592956246716504,0.6096421363150548,1.1937966717967987,2.463736307335283,cum_ti,all
2,0.2676682496538295,0.4255262254307119,0.8191241010482945,1.766515574953556,4.24778334022853,cum_ti,all
3,0.30219630060881,0.47832550090914705,0.9112813755254932,2.1292317632862243,5.067239792461398,cum_ti,all
4,0.33372701544929406,0.5252933340438507,1.0138529057679306,2.333117378014708,5.708854010165788,cum_ti,all
5,0.3618926454868963,0.5885006758421373,1.1322616269855499,2.5655772068767213,6.729431797236301,cum_ti,all
6,0.37705456101125345,0.6209119352664281,1.1992002410315905,2.7727436893694106,7.207500333891131,cum_ti,all
7,0.39251841594949455,0.6440675678649903,1.2447738210923938,2.980856271150007,7.756210831146588,cum_ti,all
8,0.4132354187163921,0.6715762201293756,1.3064252950525284,3.18813285075266,8.400255641332325,cum_ti,all
9,0.42706058204706776,0.7000422888480027,1.355277124706204,3.32309001036472,8.930406762735608,cum_ti,all
10,0.44503984464857765,0.7278416028851014,1.401496368075862,3.466599931896683,9.197464668091857,cum_ti,all
11,0.46461660626982393,0.7463532177389876,1.4234029128826027,3.5875779180602803,9.615049043896523,cum_ti,all
12,0.47767593502145783,0.7807830765799756,1.4939692393853852,3.837141683512245,10.011163499772278,cum_ti,all
13,0.49340160209144784,0.8033170027870831,1.5646384425040143,3.997213559875467,10.416361093925067,cum_ti,all
14,0.5051945118703423,0.8260842193852937,1.611836335045446,4.138939500011922,10.498483004856782,cum_ti,all
