phase,threshold,kind,cutoff,n,log_score,crps,p_positive,observed_positive,coverage50,coverage50_lo,coverage50_hi,coverage80,coverage80_lo,coverage80_hi,coverage95,coverage95_lo,coverage95_hi
development,2000000000.0,M0,5,3,-0.18637405158987852,0.14877619430615263,0.6069921767611951,0.3333333333333333,0.3333333333333333,0.038747617785165174,0.8232639028687426,1.0,0.46441675695704965,0.9998493639745635,1.0,0.46441675695704965,0.9998493639745635
development,2000000000.0,M0,10,3,-0.21252162837603686,0.16319454820666315,0.5944336270647853,0.3333333333333333,0.3333333333333333,0.038747617785165174,0.8232639028687426,1.0,0.46441675695704965,0.9998493639745635,1.0,0.46441675695704965,0.9998493639745635
development,2000000000.0,M0,20,3,0.13548608472645665,0.10571264881628706,0.5922425120076527,0.3333333333333333,0.6666666666666666,0.17673609713125732,0.9612523822148348,1.0,0.46441675695704965,0.9998493639745635,1.0,0.46441675695704965,0.9998493639745635
development,2000000000.0,M1,1,3,-0.4867247160125556,0.20754234638156724,0.6756097624416624,0.0,0.3333333333333333,0.038747617785165174,0.8232639028687426,1.0,0.46441675695704965,0.9998493639745635,1.0,0.46441675695704965,0.9998493639745635
development,2000000000.0,M1,5,3,-0.18293121216860378,0.1511268418204671,0.6061707918856704,0.3333333333333333,0.3333333333333333,0.038747617785165174,0.8232639028687426,1.0,0.46441675695704965,0.9998493639745635,1.0,0.46441675695704965,0.9998493639745635
development,2000000000.0,M1,10,3,-0.20341635896651264,0.1574861353707751,0.584808607654354,0.3333333333333333,0.3333333333333333,0.038747617785165174,0.8232639028687426,1.0,0.46441675695704965,0.9998493639745635,1.0,0.46441675695704965,0.9998493639745635
development,2000000000.0,M1,20,3,0.1568165593403705,0.10632633789351727,0.5791356832480865,0.3333333333333333,0.6666666666666666,0.17673609713125732,0.9612523822148348,1.0,0.46441675695704965,0.9998493639745635,1.0,0.46441675695704965,0.9998493639745635
development,2000000000.0,M2,1,3,-0.6185099474333197,0.23728477969737094,0.7009216236655762,0.0,0.3333333333333333,0.038747617785165174,0.8232639028687426,0.6666666666666666,0.17673609713125732,0.9612523822148348,1.0,0.46441675695704965,0.9998493639745635
development,2000000000.0,M2,5,3,-0.20415472115740427,0.15262536144184394,0.5706995370232197,0.3333333333333333,0.3333333333333333,0.038747617785165174,0.8232639028687426,1.0,0.46441675695704965,0.9998493639745635,1.0,0.46441675695704965,0.9998493639745635
development,2000000000.0,M2,10,3,-0.20202178689299308,0.15804831206887673,0.5511931786708593,0.3333333333333333,0.3333333333333333,0.038747617785165174,0.8232639028687426,1.0,0.46441675695704965,0.9998493639745635,1.0,0.46441675695704965,0.9998493639745635
development,2000000000.0,M2,20,3,0.15344570347986772,0.10388105589054426,0.5587804773762757,0.3333333333333333,0.3333333333333333,0.038747617785165174,0.8232639028687426,1.0,0.46441675695704965,0.9998493639745635,1.0,0.46441675695704965,0.9998493639745635
development,2000000000.0,M3,1,3,-0.6185099474333197,0.23728477969737094,0.7009216236655762,0.0,0.3333333333333333,0.038747617785165174,0.8232639028687426,0.6666666666666666,0.17673609713125732,0.9612523822148348,1.0,0.46441675695704965,0.9998493639745635
development,2000000000.0,M3,5,3,-0.20602312961646904,0.1558408698024494,0.5813007670540968,0.3333333333333333,0.3333333333333333,0.038747617785165174,0.8232639028687426,1.0,0.46441675695704965,0.9998493639745635,1.0,0.46441675695704965,0.9998493639745635
development,2000000000.0,M3,10,3,-0.18131147536859102,0.15863008443104595,0.552364427998146,0.3333333333333333,0.3333333333333333,0.038747617785165174,0.8232639028687426,1.0,0.46441675695704965,0.9998493639745635,1.0,0.46441675695704965,0.9998493639745635
development,2000000000.0,M3,20,3,0.19320073594172857,0.10133639851765551,0.5649375161406524,0.3333333333333333,0.3333333333333333,0.038747617785165174,0.8232639028687426,1.0,0.46441675695704965,0.9998493639745635,1.0,0.46441675695704965,0.9998493639745635
final,0.0,M0,1,244,-1.2243394687175508,0.445139487271232,0.3069503324823064,0.3073770491803279,0.39344262295081966,0.33369739350919664,0.4556990344767455,0.6680327868852459,0.6072366364181121,0.7248692399243593,0.889344262295082,0.8454334458348282,0.9240901342824471
final,0.0,M0,5,244,-1.1180211987748019,0.40527561504657206,0.3084957978456738,0.36065573770491804,0.4098360655737705,0.34948917892745107,0.4723078214957241,0.6844262295081968,0.6242035903320691,0.7403029603822675,0.8729508196721312,0.8268413120901499,0.9102793470384434
final,0.0,M0,10,244,-1.0500715688828473,0.38122736821404424,0.3277288491612467,0.3237704918032787,0.3770491803278688,0.31797716887480715,0.43901867206321127,0.6721311475409836,0.6114707703841242,0.7287352715925942,0.8729508196721312,0.8268413120901499,0.9102793470384434
final,0.0,M0,20,244,-0.8432905831704975,0.31563338500189797,0.33832464832098125,0.35655737704918034,0.38934426229508196,0.32976056677489385,0.45153571593509273,0.7049180327868853,0.645529543830401,0.7594779000323656,0.8934426229508197,0.850121423100588,0.9275030130030295
final,0.0,M1,5,244,-1.1143856324512327,0.40457951801320313,0.3069637904008874,0.36065573770491804,0.4098360655737705,0.34948917892745107,0.4723078214957241,0.680327868852459,0.6199541972677102,0.7364521818051633,0.8811475409836066,0.8361068672719101,0.9172151621368011
final,0.0,M1,10,244,-1.039412426490601,0.38051156934959823,0.3339514475603778,0.3237704918032787,0.38934426229508196,0.32976056677489385,0.45153571593509273,0.6721311475409836,0.6114707703841242,0.7287352715925942,0.8770491803278688,0.8314667925595619,0.9137545314058142
final,0.0,M1,20,244,-0.8337540431726812,0.3143258319466176,0.34108886036717645,0.35655737704918034,0.4057377049180328,0.34553460617720444,0.4681622523485599,0.7131147540983607,0.6540979165163847,0.767109903032342,0.8975409836065574,0.8548269573541132,0.9308983970580953
final,0.0,M2,1,244,-1.253709228216189,0.45396972969910226,0.2956404637314973,0.3073770491803279,0.38524590163934425,0.3258282361119328,0.4473679003639198,0.6516393442622951,0.5903495506486763,0.7093556806692126,0.8729508196721312,0.8268413120901499,0.9102793470384434
final,0.0,M2,5,244,-1.1439263882097088,0.41084238691333597,0.29620575341987315,0.36065573770491804,0.39344262295081966,0.33369739350919664,0.4556990344767455,0.6639344262295082,0.603007491906792,0.7209982206310179,0.8483606557377049,0.7993644423107058,0.8891528963080514
final,0.0,M2,10,244,-1.0410907972721188,0.3782354944847338,0.3171279845348474,0.3237704918032787,0.38934426229508196,0.32976056677489385,0.45153571593509273,0.6721311475409836,0.6114707703841242,0.7287352715925942,0.860655737704918,0.8130466942386078,0.899772178233385
final,0.0,M2,20,244,-0.8410305717309076,0.31460105656285275,0.3299983783901422,0.35655737704918034,0.3975409836065574,0.3376386913410761,0.45985788100945735,0.7172131147540983,0.6583905087122854,0.7709175031386516,0.8975409836065574,0.8548269573541132,0.9308983970580953
final,0.0,M3,5,244,-1.1120000961805567,0.4074313179212446,0.3068316807743943,0.36065573770491804,0.4057377049180328,0.34553460617720444,0.4681622523485599,0.680327868852459,0.6199541972677102,0.7364521818051633,0.860655737704918,0.8130466942386078,0.899772178233385
final,0.0,M3,10,244,-1.009005436503387,0.3748551422006844,0.3277672556510991,0.3237704918032787,0.3770491803278688,0.31797716887480715,0.43901867206321127,0.6762295081967213,0.6157099409737934,0.7325962685504999,0.8688524590163934,0.8222298294182975,0.9067902016790412
final,0.0,M3,20,244,-0.812672942900931,0.3128025048319003,0.3426094863361901,0.35655737704918034,0.4098360655737705,0.34948917892745107,0.4723078214957241,0.7213114754098361,0.6626888013514032,0.7747194059663405,0.8934426229508197,0.850121423100588,0.9275030130030295
final,500000000.0,M0,1,42,-0.80866138105121,0.29470115653584605,0.553509339006508,0.30952380952380953,0.4523809523809524,0.30920877646463557,0.6018694051838336,0.8333333333333334,0.7003878208280268,0.9222195222430397,0.9761904761904762,0.8940741824771816,0.9974188816309976
final,500000000.0,M0,5,42,-0.6020137238060711,0.24033088753452417,0.5088788317810626,0.2619047619047619,0.47619047619047616,0.3309535499906077,0.624585638144683,0.8333333333333334,0.7003878208280268,0.9222195222430397,0.9761904761904762,0.8940741824771816,0.9974188816309976
final,500000000.0,M0,10,42,-0.6309940016694504,0.246360497096319,0.499835495662471,0.23809523809523808,0.40476190476190477,0.26670629527599526,0.5554484569712203,0.8333333333333334,0.7003878208280268,0.9222195222430397,0.9523809523809523,0.8558996378223056,0.9899738585387104
final,500000000.0,M0,20,42,-0.5009096038892653,0.2232261587312631,0.5036620764274486,0.21428571428571427,0.42857142857142855,0.2877912208673181,0.578825556181584,0.8095238095238095,0.6725057779761543,0.9055974985464265,0.9285714285714286,0.821494583312559,0.979472078679193
final,500000000.0,M1,5,42,-0.5794945880740809,0.23596143867159808,0.500084785823813,0.2619047619047619,0.47619047619047616,0.3309535499906077,0.624585638144683,0.8333333333333334,0.7003878208280268,0.9222195222430397,0.9761904761904762,0.8940741824771816,0.9974188816309976
