cutoff,model,p_positive,p_loss20,median_log,ipo_id,ticker,ipo_date,ipo_proceeds,realized,lo50,hi50,lo80,hi80,lo95,hi95
10,M3,0.4452747238913518,0.2595241248107892,-0.038073773254709245,SGP_20260206,SGP,2026-02-06 00:00:00,150000000.0,-0.2743327314693164,-0.2185869290016318,0.15103089413419452,-0.4401274723255413,0.39520756193320083,-0.8958977251132895,0.7968294806088857
20,M3,0.43902956025193074,0.23543391728185206,-0.03610024556256091,SGP_20260206,SGP,2026-02-06 00:00:00,150000000.0,-0.20199474593207756,-0.19990389385379825,0.1345315578630895,-0.40115162566086143,0.35179449975056004,-0.8377910638859154,0.7383370550237722
0,M0,0.4559934622710258,0.336200086716907,-0.04022939358665247,GENB_20260227,GENB,2026-02-27 00:00:00,400000000.0,-0.011717615014869454,-0.32249678493439227,0.2366567975425207,-0.668079084218782,0.607871025669788,-1.376600344053937,1.2737222124177379
1,M2,0.5763177722367898,0.23797137742728858,0.07726010368141369,GENB_20260227,GENB,2026-02-27 00:00:00,400000000.0,-0.011717615014869454,-0.19145058726180053,0.3521460814831781,-0.5184333309860187,0.7182316825419129,-1.2427454806894866,1.4133195982524827
5,M3,0.5216176425835579,0.23667177834222994,0.020235912517444804,GENB_20260227,GENB,2026-02-27 00:00:00,400000000.0,0.007776177739138829,-0.19585961605233415,0.23619909903749903,-0.4480288324097418,0.5123628022884681,-0.9084470393128973,0.9735558437682237
10,M3,0.4975943808457426,0.23969246381018755,-0.0005951831136870207,GENB_20260227,GENB,2026-02-27 00:00:00,400000000.0,-0.07615932276556746,-0.19507587838718582,0.1996397704261854,-0.4350238441406136,0.4613701482595619,-0.9314404728197618,0.8906695871093884
20,M3,0.49045317906280983,0.21843584694601723,-0.003423076724442832,GENB_20260227,GENB,2026-02-27 00:00:00,400000000.0,-0.08459939029857164,-0.18308703863243483,0.1766458985262829,-0.3935187379633129,0.40679796171585125,-0.8567567977625337,0.8353388802054595
0,M0,0.7128097126427699,0.15996101183553596,0.25001815483730955,CBRS_20260514,CBRS,2026-05-14 00:00:00,5550000000.0,-0.3007734776416103,-0.03987381610979699,0.529720347863708,-0.38029266523215294,0.8916702409866414,-1.0796590137392854,1.5803192427352377
1,M2,0.5295678787347183,0.2723862081359657,0.027565348333313602,CBRS_20260514,CBRS,2026-05-14 00:00:00,5550000000.0,-0.3007734776416103,-0.23945746165493792,0.307072351016257,-0.5646596514289282,0.6886453413080009,-1.2785218302656804,1.3731893842791565
5,M3,0.408744402588343,0.3346171045585382,-0.07118511208808712,CBRS_20260514,CBRS,2026-05-14 00:00:00,5550000000.0,-0.2468060453895942,-0.2981506735340296,0.16074119274440385,-0.5727857715245303,0.4447697694697647,-1.0583702599734461,0.8901595328880552
10,M3,0.4020406790190201,0.3274982631812541,-0.07692654920723024,CBRS_20260514,CBRS,2026-05-14 00:00:00,5550000000.0,-0.041587129536795775,-0.28533332600068945,0.13652601411924004,-0.544788779744832,0.4106157883117733,-1.053246352198032,0.8682406017814494
20,M3,0.4445931333295987,0.26744795812573247,-0.0369470606396756,CBRS_20260514,CBRS,2026-05-14 00:00:00,5550000000.0,-0.01520675147447566,-0.23382027428521654,0.1623984324756202,-0.4623529979025507,0.4073415006476838,-0.9265362602506387,0.8664269632948018
